t	y
-0.000	-0.500
0.040	13.732
0.080	13.732
0.120	13.732
0.160	40.555
0.200	40.555
0.240	46.570
0.280	46.570
0.320	47.982
0.360	48.270
0.400	48.100
0.440	51.403
0.480	52.039
0.520	52.387
0.560	51.685
0.600	51.685
0.640	53.562
0.680	53.562
0.720	54.973
0.760	54.973
0.800	56.030
0.840	58.033
0.880	58.151
0.920	57.508
0.960	57.042
1.000	57.213
1.040	58.506
1.080	58.624
1.120	58.795
1.160	58.795
1.200	59.378
1.240	56.186
1.280	56.186
1.320	56.475
1.360	57.058
1.400	57.058
1.440	57.058
1.480	57.399
1.520	54.583
1.560	54.242
1.600	53.777
1.640	41.857
1.680	41.576
1.720	45.175
1.760	32.901
1.800	32.730
1.840	18.063
1.880	17.938
1.920	6.898
1.960	0.336
2.000	-0.240
