t	y
0.000	-0.336
0.040	15.122
0.080	34.544
0.120	34.544
0.160	54.244
0.200	54.244
0.240	54.632
0.280	55.334
0.320	55.334
0.360	56.192
0.400	56.779
0.440	55.266
0.480	55.859
0.520	55.696
0.560	55.266
0.600	56.070
0.640	56.288
0.680	56.445
0.720	56.445
0.760	54.981
0.800	55.526
0.840	55.682
0.880	54.715
0.920	54.715
0.960	55.907
1.000	54.988
1.040	54.382
1.080	54.695
1.120	54.695
1.160	53.878
1.200	51.760
1.240	53.497
1.280	52.523
1.320	52.523
1.360	51.821
1.400	52.523
1.440	49.657
1.480	49.657
1.520	49.657
1.560	48.901
1.600	48.472
1.640	47.498
1.680	47.341
1.720	46.694
1.760	46.537
1.800	42.022
1.840	41.000
1.880	43.378
1.920	42.948
1.960	44.188
2.000	42.948
2.040	43.704
2.080	45.162
2.120	45.592
2.160	46.184
2.200	48.895
2.240	44.441
2.280	29.835
2.320	29.835
2.360	-0.571
