t	y
-0.000	-0.176
0.040	35.211
0.080	35.093
0.120	33.977
0.160	45.480
0.200	45.296
0.240	45.480
0.280	45.710
0.320	44.830
0.360	43.537
0.400	43.655
0.440	42.184
0.480	42.184
0.520	42.886
0.560	43.648
0.600	43.550
0.640	49.409
0.680	49.579
0.720	50.998
0.760	50.998
0.800	52.528
0.840	51.050
0.880	51.398
0.920	51.228
0.960	50.060
1.000	50.060
1.040	47.104
1.080	46.224
1.120	46.054
1.160	46.224
1.200	48.885
1.240	52.247
1.280	52.417
1.320	55.181
1.360	55.477
1.400	55.477
1.440	54.531
1.480	54.361
1.520	52.668
1.560	50.547
1.600	50.429
1.640	45.603
1.680	45.426
1.720	42.070
1.760	36.994
1.800	36.824
1.840	33.861
1.880	33.861
1.920	38.117
1.960	40.046
2.000	39.810
2.040	41.872
2.080	42.160
2.120	41.281
2.160	41.221
2.200	39.876
2.240	37.932
2.280	36.750
2.320	35.870
2.360	33.867
2.400	34.038
2.440	-0.633
