t	y
-0.000	-0.307
0.040	16.127
0.080	16.127
0.120	16.127
0.160	49.629
0.200	49.341
0.240	53.465
0.280	53.635
0.320	53.753
0.360	55.172
0.400	55.290
0.440	59.459
0.480	59.289
0.520	61.298
0.560	62.362
0.600	62.769
0.640	63.840
0.680	63.958
0.720	63.722
0.760	63.434
0.800	65.436
0.840	65.148
0.880	64.978
0.920	64.216
0.960	63.041
1.000	62.811
1.040	63.277
1.080	63.277
1.120	62.339
1.160	62.102
1.200	63.277
1.240	64.275
1.280	64.446
1.320	64.630
1.360	64.223
1.400	64.223
1.440	63.757
1.480	63.928
1.520	63.048
1.560	61.104
1.600	60.993
1.640	56.685
1.680	56.567
1.720	54.912
1.760	51.609
1.800	51.439
1.840	47.307
1.880	47.137
1.920	45.201
1.960	44.617
2.000	44.617
2.040	40.678
2.080	41.025
2.120	38.209
2.160	38.209
2.200	36.022
2.240	30.939
2.280	28.581
2.320	26.571
2.360	23.689
2.400	23.511
2.440	-0.644
