t	y
0.000	-0.506
0.040	11.827
0.080	45.419
0.120	45.419
0.160	59.733
0.200	59.733
0.240	61.259
0.280	62.751
0.320	62.479
0.360	63.065
0.400	63.494
0.440	62.520
0.480	63.113
0.520	62.956
0.560	62.956
0.600	63.604
0.640	64.251
0.680	64.251
0.720	64.251
0.760	64.251
0.800	64.094
0.840	63.828
0.880	63.290
0.920	63.024
0.960	64.488
1.000	63.241
1.040	63.241
1.080	63.835
1.120	63.835
1.160	62.479
1.200	61.838
1.240	63.678
1.280	62.056
1.320	62.213
1.360	63.569
1.400	63.412
1.440	62.220
1.480	63.956
1.520	63.956
1.560	61.873
1.600	62.296
1.640	62.139
1.680	61.982
1.720	61.982
1.760	61.982
1.800	60.463
1.840	60.198
1.880	59.768
1.920	59.768
1.960	58.045
2.000	57.016
2.040	56.206
2.080	57.241
2.120	56.920
2.160	55.857
2.200	57.212
2.240	55.149
2.280	48.577
2.320	48.577
2.360	9.150
2.400	-0.262
